time,elapsed,test_type,phase,axis,direction,target_speed,cmd_vx,cmd_wz,fb_vx,fb_vy,fb_wz
1782644415.0576975,0.3601560592651367,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644415.0977025,0.4001610279083252,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644415.1377192,0.44017767906188965,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644415.1777065,0.4801650047302246,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644415.2177067,0.520165205001831,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644415.258214,0.5606725215911865,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644415.2976391,0.60009765625,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644415.3377166,0.6401751041412354,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644415.3776584,0.6801168918609619,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644415.417693,0.720151424407959,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644415.4577153,0.7601737976074219,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644415.497719,0.8001775741577148,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644415.5376933,0.8401517868041992,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644415.577652,0.880110502243042,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644415.617641,0.9200994968414307,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644415.6576347,0.9600932598114014,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644415.697656,1.0001144409179688,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644415.7376697,1.040128231048584,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644415.7776504,1.080108880996704,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644415.8176441,1.1201026439666748,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644415.8576596,1.1601181030273438,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644415.8976448,1.2001032829284668,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644415.9376163,1.240074872970581,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
1782644415.9776456,1.280104160308838,breakaway,target_from_rest,vx,1,0.02,0.02,0.0,0.0,0.0,0.0
