[INFO] [1781017158.367980794] [cmd_vel_to_rosmaster]: Initializing Rosmaster...
[INFO] [1781017158.370397716] [cmd_vel_to_rosmaster]: Serial port: /dev/ttyUSB0
[INFO] [1781017158.942783580] [cmd_vel_to_rosmaster]: cmd_vel_to_rosmaster started.
[INFO] [1781017158.945004876] [cmd_vel_to_rosmaster]: Subscribed topic: /cmd_vel
[INFO] [1781017158.947853757] [cmd_vel_to_rosmaster]: linear.y is ignored in this stage.
[INFO] [1781017158.949937678] [cmd_vel_to_rosmaster]: Safety limits: max_vx=0.100 m/s, max_wz=0.200 rad/s
[INFO] [1781017158.952010974] [cmd_vel_to_rosmaster]: Kick start: enable=True, kick_vx=0.110, kick_duration=0.220s, min_drive_vx=0.010, kick_max_wz=0.120, kick_cooldown=1.000s
[INFO] [1781017166.739252142] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=-0.023 => send: vx=0.000, vy=0.000, wz=-0.023, kick=False
[INFO] [1781017166.775684551] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=-0.026 => send: vx=0.000, vy=0.000, wz=-0.026, kick=False
[INFO] [1781017166.812651920] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=-0.029 => send: vx=0.000, vy=0.000, wz=-0.029, kick=False
[INFO] [1781017166.850517874] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=-0.031 => send: vx=0.000, vy=0.000, wz=-0.031, kick=False
[INFO] [1781017166.890782208] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=-0.032 => send: vx=0.000, vy=0.000, wz=-0.032, kick=False
[INFO] [1781017166.927205742] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=-0.034 => send: vx=0.000, vy=0.000, wz=-0.034, kick=False
[INFO] [1781017166.943759693] [cmd_vel_to_rosmaster]: status: battery=11.3, motion=(-1.222, 0.007, -0.141), last_cmd=(vx=0.000, wz=-0.034)
[INFO] [1781017166.964324986] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=-0.035 => send: vx=0.000, vy=0.000, wz=-0.035, kick=False
[INFO] [1781017167.000589770] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=-0.036 => send: vx=0.000, vy=0.000, wz=-0.036, kick=False
[INFO] [1781017167.037582972] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, linear.y=0.000, angular.z=-0.036 => send: vx=0.000, vy=0.000, wz=-0.036, kick=False
