[INFO] [1781876541.837072963] [cmd_vel_to_rosmaster]: Initializing Rosmaster...
[INFO] [1781876541.840794962] [cmd_vel_to_rosmaster]: Serial port: /dev/ttyUSB1
[INFO] [1781876542.418736467] [cmd_vel_to_rosmaster]: cmd_vel_to_rosmaster started.
[INFO] [1781876542.422018258] [cmd_vel_to_rosmaster]: Subscribed topic: /cmd_vel
[INFO] [1781876580.976623944] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876581.076819208] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876581.175743721] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876581.274398027] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876581.436762106] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876581.522853790] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=-0.042 => target: vx=0.000, wz=-0.042, kick=False
[INFO] [1781876581.621458388] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=-0.014 => target: vx=0.004, wz=-0.014, kick=False
[INFO] [1781876581.737345355] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876581.826286580] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876581.983081953] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876582.103933210] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876582.204186766] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876582.325641315] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876582.421252996] [cmd_vel_to_rosmaster]: status: battery=10.1, motion=(-0.003, 0.003, -0.023), last_cmd=(vx=0.004, wz=-0.000)
[INFO] [1781876582.426865411] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876582.578204077] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876582.742941989] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=-0.042 => target: vx=0.000, wz=-0.042, kick=False
[INFO] [1781876582.832335214] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=-0.014 => target: vx=0.004, wz=-0.014, kick=False
[INFO] [1781876582.926708812] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876583.074878229] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876583.182575365] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876583.325516242] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=0.000 => target: vx=0.004, wz=0.000, kick=False
[INFO] [1781876583.478722032] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=-0.012 => target: vx=0.004, wz=-0.012, kick=False
[INFO] [1781876583.592918792] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=-0.013 => target: vx=0.004, wz=-0.013, kick=False
[INFO] [1781876583.674759810] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=-0.013 => target: vx=0.004, wz=-0.013, kick=False
[INFO] [1781876583.827628684] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=-0.014 => target: vx=0.004, wz=-0.014, kick=False
[INFO] [1781876583.927246364] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=-0.014 => target: vx=0.004, wz=-0.014, kick=False
[INFO] [1781876584.080340529] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=-0.014 => target: vx=0.004, wz=-0.014, kick=False
[INFO] [1781876584.175244378] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=-0.014 => target: vx=0.004, wz=-0.014, kick=False
[INFO] [1781876584.286537513] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=-0.014 => target: vx=0.004, wz=-0.014, kick=False
[INFO] [1781876584.406439104] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=-0.014 => target: vx=0.004, wz=-0.014, kick=False
[INFO] [1781876584.420964559] [cmd_vel_to_rosmaster]: status: battery=10.0, motion=(-1.079, 0.011, -0.164), last_cmd=(vx=0.004, wz=-0.014)
[INFO] [1781876584.511702658] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=-0.014 => target: vx=0.004, wz=-0.014, kick=False
[INFO] [1781876584.625564251] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.004, angular.z=-0.014 => target: vx=0.004, wz=-0.014, kick=False
[INFO] [1781876584.715937392] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=0.000 => target: vx=0.000, wz=0.000, kick=False
[INFO] [1781876584.822663446] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=0.000 => target: vx=0.000, wz=0.000, kick=False
[INFO] [1781876584.925135208] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=0.000 => target: vx=0.000, wz=0.000, kick=False
[INFO] [1781876585.063248753] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=-0.006 => target: vx=0.000, wz=0.000, kick=False
[INFO] [1781876585.216045127] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=-0.006 => target: vx=0.000, wz=0.000, kick=False
[INFO] [1781876585.362543169] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=-0.006 => target: vx=0.000, wz=0.000, kick=False
[INFO] [1781876585.510058002] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=0.000 => target: vx=0.000, wz=0.000, kick=False
[INFO] [1781876585.661814459] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=0.000 => target: vx=0.000, wz=0.000, kick=False
[INFO] [1781876585.767368305] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=0.000 => target: vx=0.000, wz=0.000, kick=False
[INFO] [1781876585.862736570] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=0.000 => target: vx=0.000, wz=0.000, kick=False
[INFO] [1781876586.010243528] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=-0.040 => target: vx=0.000, wz=-0.040, kick=True
[INFO] [1781876586.157021862] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=-0.040 => target: vx=0.000, wz=-0.040, kick=False
[INFO] [1781876586.325149064] [cmd_vel_to_rosmaster]: raw cmd: linear.x=0.000, angular.z=0.000 => target: vx=0.000, wz=0.000, kick=False
