[INFO] [1782905588.662194507] [simple_scan_filter]: filter /scan -> /scan_filtered, keep=[0.18, 4.00], isolated_window=2, isolated_delta=0.25, min_support_neighbors=1
[INFO] [1782906441.392288558] [simple_scan_filter]: scan stats: n=404, zeros=114, nan=0, inf=0, finite_raw=290, finite_out=252, removed_isolated=3
[INFO] [1782906446.386754007] [simple_scan_filter]: scan stats: n=404, zeros=112, nan=0, inf=0, finite_raw=292, finite_out=249, removed_isolated=5
[INFO] [1782906451.423962120] [simple_scan_filter]: scan stats: n=404, zeros=112, nan=0, inf=0, finite_raw=292, finite_out=251, removed_isolated=4
[INFO] [1782906456.383473887] [simple_scan_filter]: scan stats: n=404, zeros=116, nan=0, inf=0, finite_raw=288, finite_out=245, removed_isolated=6
[INFO] [1782906461.381048365] [simple_scan_filter]: scan stats: n=404, zeros=118, nan=0, inf=0, finite_raw=286, finite_out=240, removed_isolated=6
[INFO] [1782906466.368248099] [simple_scan_filter]: scan stats: n=404, zeros=108, nan=0, inf=0, finite_raw=296, finite_out=254, removed_isolated=5
[INFO] [1782906471.365263197] [simple_scan_filter]: scan stats: n=404, zeros=113, nan=0, inf=0, finite_raw=291, finite_out=252, removed_isolated=5
[INFO] [1782906476.364912455] [simple_scan_filter]: scan stats: n=404, zeros=116, nan=0, inf=0, finite_raw=288, finite_out=252, removed_isolated=5
[INFO] [1782906481.356004760] [simple_scan_filter]: scan stats: n=404, zeros=118, nan=0, inf=0, finite_raw=286, finite_out=242, removed_isolated=5
[INFO] [1782906486.350004268] [simple_scan_filter]: scan stats: n=404, zeros=121, nan=0, inf=0, finite_raw=283, finite_out=239, removed_isolated=5
[INFO] [1782906491.345443521] [simple_scan_filter]: scan stats: n=404, zeros=111, nan=0, inf=0, finite_raw=293, finite_out=250, removed_isolated=5
[INFO] [1782906496.343007936] [simple_scan_filter]: scan stats: n=404, zeros=111, nan=0, inf=0, finite_raw=293, finite_out=257, removed_isolated=5
[INFO] [1782906501.341384306] [simple_scan_filter]: scan stats: n=404, zeros=111, nan=0, inf=0, finite_raw=293, finite_out=251, removed_isolated=5
